n11136687,曾遭打毒针 成都法轮功学员何友华被迫害离世
n13361681,9至10月统计 近两千法轮功学员遭绑架骚扰
n13362725,知情人揭法轮功学员唐梅君被害更多细节
n13364762,家破人亡 江西法轮功学员付金凤再遭绑架
n13365406,瘫痪老人炼法轮功后康复 却遭中共绑架下落不明
n13367855,“追查国际”追查中共雇凶袭击巴黎法轮功学员
n13365839,大陆教师招聘不收法轮功学员 律师：严重违法
n13367312,四川退休干部遭重庆女监迫害 头上烂出洞
n13365505,东营幼儿园书记迫害修炼法轮功的教师后患癌
n13369752,1至10月统计 101名法轮功学员被迫害离世
n13370209,法轮功学员刘亚芹被黑龙江女监迫害致死
n13330731,中共株连政策惊现招聘公告 三代人受影响
n13374324,大陆多地法轮功学员遭中共判重刑（3）
n13375690,六中全会前 法轮功学员遭大面积绑架骚扰
n13375911,美弗州弗卢万纳县决议案 谴责中共活摘器官
n13367791,丈夫被害死 曾陷8年冤狱的妻子遭中共骚扰
n13377039,幸福之家炼法轮功饱受中共迫害 历经生离死别
n13377537,母亲遭迫害离世三年 社保局逼其子女退养老金
n13379414,76岁王桂英等三名法轮功学员被迫害致死
n13379932,曾遭冤狱14年 高级农艺师王新民再被冤判
n13380687,河北弘和宾馆设黑监狱 更多内幕鲜为人知
n13381637,法轮功学员付贵华狱中猝死 更多内幕曝光
n13382182,贵州法轮功学员张廷祥遭冤判十年
n13383886,饱受监狱折磨 黑龙江法轮功学员李桂月离世
n13385048,进博会期间 上海居民被撵出城 遭严密监控
n13385264,中国女留学生加拿大疾呼：“救救我母亲”
n13384484,遭17年迫害 辽宁法轮功学员王香菊含冤离世
n13387129,中共公安部高层人事变动 党委书记换人
n13388004,胡汉姣入狱13天死亡 政法委介入 专家析因
n13386693,吉林省高级法院炮制秘密文件 诬判法轮功学员
n13389091,曾遭枉判八年 成都法轮功学员吴春兰含冤离世
n13390029,36位西人：在天安门广场上为自由而战
n13389366,生前遭酷刑虐待 北京高级技术人员吴孟华离世
n13386352,上海法轮功学员张轶博与何冰刚遭非法批捕
n13391753,南昌原工程师章迎枝因信仰再遭非法关押
n13393338,落马的湖北高院政治部主任侯旺发 冤判信仰民众
n13396140,残疾人严英陷冤狱 律师：侦查机关故意陷害
n13397851,北京平谷区法轮功学员养老金遭非法剥夺
n13400275,陷冤狱四年半 高级经济师孟祥龙遭毒打吊铐
n13398532,2018-2020 成都法轮功学员遭迫害综述
n13403835,六年冤狱 辽宁法轮功学员刘淑花被迫害致死
n13400861,落马的四川西昌法院院长及法官涉众多冤案
n13404552,大陆知名律师梁小军面临被吊销律师证
n13405677,工程师栾长辉遭非法庭审 妻子为他做无罪辩护
n13406210,法轮功学员遭害致残 辽宁女监勒索20万才放人
n13406864,国际女性人权日 聆听3位中国女人的故事
n13408438,昆明法轮功学员严经雄陷冤狱13年 家破人亡
n13408040,前大连市中级法院院长周焱涉196宗冤案
n13410256,历经21年苦难 佳木斯法轮功学员孔凡英离世
n13410744,南京女工程师屡遭绑架 再被构陷到法院
n13411227,骚扰威逼下法轮功学员离世 律师：立案追责
n13413559,内部文件：中共官媒令美员工保“政治清白”
n13413203,冤狱八年 双目失明 大连人马瑞田的悲惨故事
n13412606,江西落马政法委书记龚建华打压善良民众
n13415071,76岁法轮功学员遭冤判8年 其妻提诉讼将开庭
n13416813,11月份统计 至少63名法轮功学员遭冤判
n13417359,50斤脚镣 4年不见阳光 法轮功学员普政遇害
n13419794,因坚守信仰 86岁高级工程师李培高身陷囹圄
n13411319,狱中诗画——法轮功学员在磨难中心志不改
n13421952,邻居公认的好人 法轮功学员黄云龙含冤离世
n13422564,法轮功学员李振东死亡案 律师：监狱渎职
n13422434,一年内 辽宁锦州九名政法系统官员遭厄运
n13424317,被中共剥夺养老金 三位耄耋老人悲苦离世
n13427790,新唐人推大型纪录片 讲述黑暗中光明故事
n13427032,国际人权日 律师吁关注受迫害的法轮功学员
n13429561,多名八旬老人被劫入狱 学者：中共毫无人权
n13431199,一群残疾人的苦难 人权日看中共暴政
n13434903,人权日 三位旅澳中国精英控诉中共暴行（一）
n13437662,梁小军律师吊照听证 被指走过场
n13436648,十年冤狱 原清华大学助教海外诉说遭遇
n13438937,饱受酷刑折磨 原外企质量总监讲述受害经历
n13441478,冬奥会中共敏感期 八旬老人刚出冤狱又遭枉判
n13442432,梁小军被吊销律师执照 文件曝中共迫害法轮功
n13443532,百姓传避疫良方遭重判 律师：中共迫害违法
n13445909,36国接迫害法轮功者最新名单 震慑中共
n13449183,中国留学生营救母亲 加拿大政要声援
n13452005,中共称反制裁美官员 专家：美击中要害
n13451524,法轮功学员邓翠萍等人被抓 美国务院关注
n13453400,法轮功学员告监狱施酷刑 律师：维护合法权益
n13458775,山东政法系统大清洗 今年近3000官员被查
n13459414,隐蔽的法外机构“610”专家吁国际制裁（上）
n13462906,隐蔽的法外机构610 专家吁国际制裁（下）
n13471084,终结中共迫害 “支持法轮功”征签破十万
n13479680,中共对全民迫害机制 专家分析成因
n13478838,八旬老人被害死 律师：大连监狱是第一责任人
n13480118,大连八旬老汉死于冤狱 英国人谴责中共暴行
n13481295,大连监狱霸占受害人尸体 律师：非法
n13486254,监狱极端精神摧残 法轮功学员官忠基命危
n13485930,屡遭酷刑性侵 法轮功学员仲淑娟被迫害致死
n13488696,拒“转化” 八旬法轮功学员刘希永被迫害死
n13495075,2021年至少103名法轮功学员被迫害死
n13496264,田云：中共政法风暴背后的因果报应
n13495811,分析：中共政法官员面临海内外清算
n13499952,法轮功学员再遭枉判 辩护律师：控告二审法官
n13503194,王友群：江泽民在江苏的五个帮凶的结局
n13504657,2021年获悉 至少553人迫害法轮功遭厄运
n13508986,许那被判8年 律师：冬奥前中共侵害人权又一例
n13513237,2021年逾两千名老年法轮功学员遭中共迫害
n13515441,法轮功学员刘丽洁被关 律师：当局因恐惧报复
n13491603,【名家专栏】中国女画家许那的奥运劫
n13516514,惠虎宇：影评——穿越生死的《沉默呼声》
n13518038,中共百种酷刑折磨 逼迫人放弃信仰真善忍
n13521294,11法轮功学员遭重判 加政要谴中共打压人权
n13520765,74人遭判刑 专家：中共惧怕精英信仰真善忍
n13526543,再遭冤判三年 法轮功学员孙艳环面临非法收监
n13528390,天安门广场上 为中国人发声的德国大学生（1）
n13533454,天安门广场上 为中国人发声的德国大学生（2）
n13537458,成都法轮功学员黄素兰遭秘审 仅数天死亡
n13555509,中共极权极端防疫 藉清零迫害信仰团体
n13556415,北京冬奥会背后的人权悲剧
n13560915,新年打虎 7中管干部落马 3高官同日被捕
n13536804,1828天“教育转化”黑龙江女子监狱黑幕
n13563192,中共惧怕社会精英有信仰 打压优秀教师
n13531687,一百个中国家庭故事——如果这一切不曾发生
n13569660,美参议员：共产主义是癌症 不能让它蔓延
n13568691,无辜民众新年遭冤判 律师：中共惧怕信仰者
n13572834,高一喜的故事和背后的惊人秘密
n13572920,江泽民老家江苏多名“610”官员落马
n13570533,冬奥会前 中共藉“维稳”迫害法轮功学员
n13575222,法拉盛领袖：立即停止针对法轮功的仇恨犯罪
n13576363,中共扣发养老金依据“见不得人的内部文件”
n13578965,天津政法书记赵飞突然转人大 引关注
n13578342,中共法院大量冤判 政法委“610”幕后操控
n13584573,新年前后 三位女法轮功学员遭中共迫害死
n13587121,遭绑架不久 法轮功学员即被中共迫害致死
n13591671,近几个月 多位八旬法轮功学员遭中共绑架判刑
n13593948,重病患者炼法轮功后康复 却遭中共关押判刑
n13596338,公检法合谋绑架枉判 迫害死法轮功学员
n13599603,法轮功学员石建伟被云南监狱害死并强行火化
n13605425,云昭：走进窄门的梁小军
n13565875,遭迫害致瘫 法轮功学员张育珍仍被冤判7年
n13601990,人权律师谈中共为何惧怕法轮功
n13604789,法轮功学员遭中共药物摧残 大量伤残致死案例
n13611204,河北优秀新闻工作者陈星伯陷冤狱 几近失明
n13613775,山东前610副主任获刑 迫害法轮功案例曝光
n13616864,台湾前大学系主任：我看《沉默呼声》的感动
n13616482,近期多名法轮功学员遭警察绑架后 下落不明
n13619136,优秀教师陷冤狱 律师：黑龙江司法普遍违法
n13623997,中共严控老百姓的手段——清零（上）
n13628364,中共严控老百姓的手段——清零（下）
n13639944,从妇女节到“缚女劫”中国女性地位堪忧（上）
n13636730,政法委指挥 耗巨资续建洗脑班 打压民众（上）
n13642928,政法委指挥 中共“洗脑班”整人的手段（下）
n13645413,法轮功学员李文栋遭中共药物摧残离世
n13650621,旅美华人吁中共释放修炼法轮功的妹妹
n13647678,【中共百种酷刑】：压床板
n13653590,饱受迫害 大庆法轮功学员管凤霞夫妇相继离世
n13656048,【中共百种酷刑】：拖刑
n13660094,流离失所 药物迫害 老年法轮功学员被害离世
n13662506,大连前警官揭中共洗脑班黑幕：欺骗 暴力
n13664915,北京两政法前高官遭厄运 曾迫害法轮功
n13667637,优秀教师遭冤判 辩护人控告佳木斯公检法
n13672964,内蒙法轮功学员：如果我死了 就是被害死的
n13672516,优秀教师遭冤判 辩护人控告佳木斯公检法（二）
n13678842,传保平安的福音 法轮功学员却遭关押和判刑
n13683424,法轮功学员季云芝被害死 大量警察严控遗体
n13684077,长沙女监酷刑迫害法轮功学员 律师：应追究刑责
n13682860,“束缚带”捆吊 江西女子监狱对妇女施酷刑
n13688715,近期三名七旬法轮功学员被迫害离世
n13669136,五年绝食抗议 上海交大优秀学子每一秒的坚持
n13694951,三月份获知 74名法轮功学员遭中共冤判
n13699665,中共强制法轮功学员戴监控器 律师：违法犯法
n13697069,老年法轮功学员投诉养老金被剥夺 却遭冤判
n13709102,法轮功学员井玉华被黑龙江女监殴打虐待
n13704649,1至3月有44名法轮功学员被迫害致死
n13692679,身心长年遭摧残 三位法轮功学员含冤离世
n13709854,双腿鼻梁被打断 重庆女工程师生前的遭遇
n13710251,洛杉矶民众中领馆前声援法轮功学员许那
n13712382,半年多 又有六位法轮功学员遭中共迫害离世
n13713749,至少40名法轮功学员遭石家庄桥西区法院枉判
n13708358,冤狱期满 法轮功学员朱光荣被劫入洗脑班
n13714548,原云南精神病院主治医生被冤判 曾遭毒气摧残
n13716878,山西司法副厅长句轶旺心梗死亡 曾迫害法轮功
n13716313,一百个中国家庭故事——三代家族的十年生死
n13717927,北京法轮功学员韩非再遭绑架 女儿吁紧急营救
n13717744,内蒙落马公安副厅长王来明曾迫害法轮功
n13719557,纪念四二五 洛杉矶法轮功中领馆前烛光夜悼
n13718512,因言获罪 77岁老人被判8年 冤死于唐山监狱
n13720670,美发布宗教自由报告 吁制裁更多中共官员
n13720981,见法轮功学员受阻 律师申诉：陕西司法厅违法
n13722817,成都法轮功学员黄素兰 三天遭迫害致死
n13723307,屡遭中共迫害 大庆法轮功学员高秀兰夫妇离世
n13724089,河北三河市法轮功学员姜桂玲被中共迫害离世
n13725531,中共体制下 一群遭监控被迫流离失所的中国人
n13726210,57名法轮功学员遭冤判 刘艳案受海外关注
n13727134,遭绑架关押 三位法轮功学员在中共迫害中离世
n13730316,一群被中共迫害成植物人离世的普通百姓
n13731456,四月份获悉19名法轮功学员被中共迫害死
n13732612,新报告：疫情下 中共迫害法轮功严重加剧
